|SUL_NO   |REV_SEQ|ATWRT01|ATWRT02|ATWRT03|ATWRT04|ATWRT05|REG_EMP |UPD_EMP |REG_DATE               |UPD_DATE               |
|---------|-------|-------|-------|-------|-------|-------|--------|--------|-----------------------|-----------------------|
|SM1800843|01     |132KV  |3      |C      |800SQ  |       |20250073|20250073|2025-11-19 13:37:54.163|2025-12-10 09:40:58.470|
|SM2200050|00     |±320KV |1      |C      |2100SQ |DC     |20250073|20250073|2025-12-08 09:50:45.323|2025-12-10 09:50:18.340|
|SM2200281|00     |66KV   |3      |C      |800SQ  |       |20250073|20250073|2025-12-04 15:51:43.140|2025-12-08 09:21:01.437|
|SM2200348|00     |525KV  |1      |C      |2600SQ |       |20250073|20250073|2025-12-08 10:00:20.163|2025-12-10 09:59:08.393|
|SM2200350|00     |525KV  |1      |C      |2250SQ |       |20250073|20250073|2025-12-08 10:00:20.173|2025-12-10 09:57:36.590|
|SM2300136|00     |66KV   |1      |C      |2500SQ |       |20250073|20250073|2025-12-08 10:10:03.750|2025-12-10 09:59:08.410|
|SM2300215|00     |230KV  |3      |C      |2000SQ |       |20250073|20250073|2025-12-08 08:22:09.780|2025-12-10 09:12:52.927|
|SM2300271|00     |±525KV |1      |C      |3000SQ |DC     |20250073|20250073|2025-12-08 09:36:24.043|2025-12-10 09:54:44.987|
|SM2300276|00     |66KV   |3      |C      |240SQ  |       |20250073|20250073|2025-12-04 15:51:43.150|2025-12-08 09:21:01.457|
|SM2300280|00     |66KV   |3      |C      |1000SQ |       |20250073|20250073|2025-12-04 15:51:43.147|2025-12-08 09:21:01.447|
|SM2300300|00     |225KV  |3      |C      |2000SQ |AC     |20250073|20250073|2025-12-08 08:25:27.270|2025-12-08 16:27:18.153|
|SM2300301|00     |225KV  |3      |C      |1800SQ |AC     |20250073|20250073|2025-12-08 08:25:27.253|2025-12-08 08:25:27.283|
|SM2300302|00     |225KV  |3      |C      |1600SQ |AC     |20250073|20250073|2025-12-08 08:25:27.267|2025-12-08 08:25:27.300|
|SM2300330|00     |66KV   |3      |C      |240SQ  |       |20250073|20250073|2025-12-04 15:45:18.600|2025-12-10 09:08:37.053|
|SM2300331|00     |66KV   |3      |C      |630SQ  |       |20250073|20250073|2025-12-04 15:41:00.357|2025-12-10 09:08:37.093|
|SM2300332|00     |66KV   |3      |C      |1200SQ |       |20250073|20250073|2025-12-04 15:41:00.353|2025-12-10 09:08:37.067|
|SM2300336|00     |220KV  |3      |C      |1200SQ |       |20250073|20250073|2025-12-04 15:00:48.623|2025-12-10 09:46:46.960|
|SM2300351|00     |220KV  |3      |C      |1600SQ |AC     |20250073|20250073|2025-12-04 15:00:48.617|2025-12-10 09:01:57.550|
|SM2300397|00     |230KV  |1      |C      |2500SQ |       |20250073|20250073|2025-12-04 15:00:48.630|2025-12-09 10:01:23.610|
|SM2400110|00     |154KV  |3      |C      |800SQ  |       |20250073|20250073|2025-12-08 09:21:59.810|2025-12-10 09:39:41.137|
|SM2400234|00     |230KV  |3      |C      |1000SQ |       |20250073|20250073|2025-12-08 08:49:03.627|2025-12-10 09:00:30.853|
|SM2400280|00     |230KV  |3      |C      |2000SQ |       |20250073|20250073|2025-12-08 08:49:03.593|2025-12-10 09:00:30.773|
