|SALE_OPP_NO|PJT_SHIP|SHIP_SEQ|SHIP_SEQ_LOT|SUL_NO        |REV_SEQ|PJT_LENGTH|SHIP_STRT_DATE|SHIP_END_DATE|PRD_STRT_DATE|PRD_END_DATE|PRD_CNFM_STRT_DATE|PRD_CNFM_END_DATE|ITEM_NM|NOTE|ATTRIBUTE1                         |ATTRIBUTE2|REG_EMP |UPD_EMP |REG_DATE               |UPD_DATE               |
|-----------|--------|--------|------------|--------------|-------|----------|--------------|-------------|-------------|------------|------------------|-----------------|-------|----|-----------------------------------|----------|--------|--------|-----------------------|-----------------------|
|P2301029   |1       |1       |1           |SM2200050     |00     |4         |20270219      |20270319     |20260307     |20270118    |                  |                 |       |    |                                   |          |20250073|20250073|2025-12-04 16:08:12.457|2025-12-10 09:50:18.330|
|P2301029   |1       |2       |1           |SM2200050     |00     |85        |              |             |20260307     |20270118    |                  |                 |       |    |                                   |          |20250073|20250073|2025-12-04 16:08:12.460|2025-12-10 09:50:18.333|
|P2301029   |1       |3       |1           |SM2200050     |00     |85        |              |             |20260307     |20270118    |                  |                 |       |    |                                   |          |20250073|20250073|2025-12-04 16:08:12.467|2025-12-10 09:50:18.337|
|P2301030   |1       |1       |1           |SM2200050     |00     |4         |20280306      |20280405     |20270201     |20280118    |                  |                 |       |    |                                   |          |20250073|20250073|2025-12-04 16:06:47.303|2025-12-10 09:49:04.797|
|P2301030   |1       |2       |1           |SM2200050     |00     |106       |              |             |20270201     |20280118    |                  |                 |       |    |                                   |          |20250073|20250073|2025-12-04 16:06:47.307|2025-12-10 09:49:04.800|
|P2301030   |1       |3       |1           |SM2200050     |00     |106       |              |             |20270201     |20280118    |                  |                 |       |    |                                   |          |20250073|20250073|2025-12-04 16:06:47.310|2025-12-10 09:49:04.807|
|PD02312088 |1       |1       |1           |SM2300215     |00     |7.08      |20270415      |20270501     |20260215     |20270401    |20270224          |20270304         |       |    |VER24E3CEBFD6D3B528099A52D55BBA5B02|          |20240019|dkim17  |2025-12-02 10:02:17.250|2025-12-16 15:57:24.287|
|PD02312088 |1       |2       |1           |SM2300215     |00     |7.08      |              |             |20260215     |20270401    |20270307          |20270315         |       |    |VER24E3CEBFD6D3B528099A52D55BBA5B02|          |20250073|dkim17  |2025-12-09 10:00:19.877|2025-12-16 15:57:24.287|
|PD02312088 |1       |3       |1           |SM2300215     |00     |7.08      |              |             |20260215     |20270401    |20261228          |20261231         |       |    |VER24E3CEBFD6D3B528099A52D55BBA5B02|          |20250073|dkim17  |2025-12-09 10:00:19.880|2025-12-16 15:57:24.287|
|PD02312088 |1       |4       |1           |SM2300215     |00     |7.08      |              |             |20260215     |20270401    |20261205          |20261213         |       |    |VER24E3CEBFD6D3B528099A52D55BBA5B02|          |20250073|dkim17  |2025-12-09 10:00:19.883|2025-12-16 15:57:24.287|
|PD02312088 |1       |5       |1           |SM2300215     |00     |7.08      |              |             |20260215     |20270401    |20261117          |20261122         |       |    |VER24E3CEBFD6D3B528099A52D55BBA5B02|          |20250073|dkim17  |2025-12-09 10:00:19.890|2025-12-16 15:57:24.287|
|PD02312120 |1       |1       |1           |SM2300301     |00     |18.1      |20271226      |20280101     |20261126     |20270513    |20270920          |20271006         |       |    |VER24E3CEBFD6D3B528099A52D55BBA5B02|          |20250073|dkim17  |2025-12-03 17:10:46.277|2025-12-16 15:57:24.287|
|PD02312120 |1       |2       |1           |SM2300301     |00     |18.1      |              |             |20261126     |20270513    |20271206          |20271224         |       |    |VER24E3CEBFD6D3B528099A52D55BBA5B02|          |20250073|dkim17  |2025-12-03 17:10:46.283|2025-12-16 15:57:24.287|
|PD02312120 |2       |1       |1           |SM2300302     |00     |35.13     |20280124      |20280204     |20261126     |20270706    |20280107          |20280127         |       |    |VER24E3CEBFD6D3B528099A52D55BBA5B02|          |20250073|dkim17  |2025-12-03 17:10:46.283|2025-12-16 15:57:24.287|
|PD02312120 |2       |1       |2           |SM2300300     |00     |2.1       |              |             |20261126     |20270706    |20280128          |20280202         |       |    |VER24E3CEBFD6D3B528099A52D55BBA5B02|          |20250073|dkim17  |2025-12-03 17:10:46.287|2025-12-16 15:57:24.287|
|PD02312120 |2       |2       |1           |SM2300300     |00     |5         |              |             |20261126     |20270706    |20271018          |20271031         |       |    |VER24E3CEBFD6D3B528099A52D55BBA5B02|          |20250073|dkim17  |2025-12-03 17:10:46.290|2025-12-16 15:57:24.287|
