|QUO_YM|SALE_OPP_NO|SALE_OPP_NM                                       |PJT_OWNER|PJT_STRT_DATE|PJT_EEND_DATE|PJT_REND_DATE|PJT_STATUS|SIMUL_DATA_EXIST_YN|NOTE|ATTRIBUTE1|ATTRIBUTE2|REG_EMP |UPD_EMP |REG_DATE               |UPD_DATE               |
|------|-----------|--------------------------------------------------|---------|-------------|-------------|-------------|----------|-------------------|----|----------|----------|--------|--------|-----------------------|-----------------------|
|202407|P2301029   |GBR/RWE/Norfolk Vanguard West                     |20240158 |20260307     |20270118     |20270118     |          |Y                  |    |          |          |20250073|chlee   |2025-12-04 16:08:12.467|2025-12-16 10:57:45.450|
|202407|P2301030   |GBR/RWE/Norfolk Vanguard East                     |20240158 |20270201     |20280118     |20280118     |          |Y                  |    |          |          |20250073|chlee   |2025-12-04 16:06:47.310|2025-12-15 09:15:36.167|
|202407|PD02312088 |USA/LSPower/230kV Collinsville                    |20240019 |20260215     |20270401     |20270401     |          |Y                  |    |          |          |20250073|chlee   |2025-12-04 13:41:39.663|2025-12-15 09:13:53.430|
|202407|PD02312120 |BEL/ELIA/MOG2 AC                                  |20240020 |20261126     |20270825     |20270825     |          |Y                  |    |          |          |20250073|chlee   |2025-12-04 09:06:19.873|2025-12-15 09:17:25.007|
|202407|PD02401036 |DEU/TenneT/BalWin4                                |20230147 |20241101     |20290630     |20290630     |          |Y                  |    |          |          |20250073|chlee   |2025-12-08 10:00:20.310|2025-12-15 09:20:56.127|
|202407|PD02401037 |DEU/TenneT/LanWin1                                |20230147 |20260201     |20270225     |20270225     |          |Y                  |    |          |          |20250073|chlee   |2025-12-10 09:46:46.940|2025-12-15 09:22:37.093|
|202407|PD02401041 |DEU/TenneT/LanWin5                                |20230147 |19000101     |19000101     |19000101     |          |N                  |    |          |          |20250073|        |2025-12-04 16:03:41.700|2025-12-04 16:03:41.700|
|202407|PD02401081 |TWN/CIPCOP/Fengmiao                               |20180013 |20271225     |20281009     |20281009     |          |Y                  |    |          |          |20250073|chlee   |2025-12-09 16:06:04.367|2025-12-15 09:23:31.767|
|202407|PD24060017 |[22004-3-KOR] 신안우이 해저케이블                          |20060290 |20251207     |20270820     |20270820     |          |Y                  |    |          |          |20250073|chlee   |2025-12-04 15:51:43.147|2025-12-15 09:05:03.460|
|202407|PD24060018 |탑선 신의-화원 해저 154kV 1단계                             |20060290 |20251013     |20260228     |20260228     |          |Y                  |    |          |          |20250073|chlee   |2025-12-04 15:53:12.300|2025-12-15 09:04:25.893|
|202407|PD24070004 |DEU/TenneT/BalWin5                                |20210354 |20260615     |20300512     |20300512     |          |Y                  |    |          |          |20250073|chlee   |2025-12-04 16:10:43.947|2025-12-15 09:25:27.443|
|202407|PD24070048 |[24006-3B-D] 태안해상풍력 Offshore Package              |20230227 |20270209     |20280817     |20280817     |          |Y                  |    |          |          |20250073|chlee   |2025-12-04 15:59:10.197|2025-12-15 09:26:58.140|
|202408|PD24080073 |[22012-KOR] 태평염전 태양광                              |20060290 |20251013     |20260228     |20260228     |          |Y                  |    |          |          |20250073|chlee   |2025-12-04 16:00:10.917|2025-12-15 09:35:04.170|
|202408|PD24080074 |[24005-3-D] 완도금일해상풍력                              |20060290 |20270527     |20281116     |20281116     |          |Y                  |    |          |          |20250073|chlee   |2025-12-04 15:11:51.963|2025-12-15 09:35:04.170|
|202408|PD24080106 |[24034-2B-D] 태안해상풍력 Onshore Package               |20230227 |20270401     |20290203     |20290203     |          |Y                  |    |          |          |20250073|chlee   |2025-12-04 15:56:45.960|2025-12-15 09:35:04.170|
|202408|PD24080159 |USA/NY Transco &amp; NYPA/345kV NY Propel Intercon|20230049 |20270501     |20280201     |20280201     |          |Y                  |    |          |          |20250073|chlee   |2025-12-04 15:06:42.290|2025-12-15 09:35:04.170|
|202408|PD24080202 |안마해상풍력                                            |20220193 |20260526     |20270614     |20270614     |          |Y                  |    |          |          |20250073|chlee   |2025-12-09 09:05:32.940|2025-12-15 09:35:04.170|
|202410|PD24100069 |MYS/TNB/Lankawi 2                                 |20110174 |20251025     |20260830     |20260830     |          |Y                  |    |          |          |20110174|chlee   |2025-10-28 10:08:57.600|2025-12-15 09:35:04.170|
|202410|PD24100071 |IND/Alamtri/SEEP (구. Adaro)                       |20110174 |20261120     |20270818     |20270818     |          |Y                  |    |          |          |20110174|20250073|2025-10-28 10:48:53.640|2025-12-16 15:32:58.067|
|202411|PD24110056 |TWN/CIPCOP/Fengmiao 접속 계약                         |20180013 |20250404     |20251121     |20251121     |          |Y                  |    |          |          |20250073|chlee   |2025-12-09 16:25:04.723|2025-12-15 09:35:04.173|
|202501|PD25010018 |TWN/CIPCOP/230kV, 66kV Fengmiao 2                 |20240019 |20251107     |20281115     |20281115     |          |Y                  |    |          |          |20250073|chlee   |2025-12-09 16:08:57.667|2025-12-15 09:35:04.173|
|202501|PD25010114 |서해 HVDC 에너지고속도로                                   |20060290 |20271215     |20290731     |20290731     |          |Y                  |    |          |          |20250073|chlee   |2025-12-04 16:14:57.747|2025-12-15 09:35:04.173|
|202504|PD25040371 |TWN SRE Formosa 6 230kV TD                        |20090272 |20260202     |20260915     |20260915     |          |Y                  |    |          |          |20250073|chlee   |2025-12-04 15:15:41.013|2025-12-15 09:35:04.173|
|202506|PD25060025 |TWN Collaboration Agreement 230kV TD              |20090392 |19000101     |19000101     |19000101     |          |N                  |    |          |          |20250073|        |2025-12-04 15:45:18.610|2025-12-04 15:47:09.827|
|202507|PD25070246 |TWN SRE Formosa6 - Round2 230kV TD                |20090272 |20261013     |20270714     |20270714     |          |Y                  |    |          |          |20250073|chlee   |2025-12-04 15:18:50.640|2025-12-15 09:35:04.173|
