|SUL_NO   |SEQ|REV_SEQ|MAT_DESC|GONG_SEQ|GONG_CD|GONG_NM|JACK_SEQ|JACK_CD|JACK_NM   |LAYER|SEQNO|MATNR  |MATNR_NM                               |JAJE_QTY|JAJE_UNIT|WAERS|SPMON  |PRICE |PRICE_01|PRICE_02|PRICE_03|PRICE_04|PRICE_05|IN_PRICE|AMT|RMK                  |AEDAT                  |AEZET                  |REG_EMP|REG_DATE               |
|---------|---|-------|--------|--------|-------|-------|--------|-------|----------|-----|-----|-------|---------------------------------------|--------|---------|-----|-------|------|--------|--------|--------|--------|--------|--------|---|---------------------|-----------------------|-----------------------|-------|-----------------------|
|         |1  |       |        |0       |       |       |0       |       |          |0    |0    |       |                                       |0       |         |     |0      |0     |0       |0       |0       |0       |0       |0       |0  |                     |                       |                       |chlee  |2025-12-16 10:43:32.847|
|SM2500111|1  |00     |        |1       |CNF    |컨펌     |1       |       |컨펌        |1    |1    |5485300|OFC 12.5MM (국내산)                       |4,146   |KG       |KRW  |0      |13,461|0       |0       |0       |0       |0       |0       |0  |Latest G/R:2024.11.20|                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:29.127|
|SM2500111|2  |00     |        |1       |CNF    |컨펌     |1       |       |컨펌        |1    |2    |5485300|OFC 12.5MM (국내산)                       |6,051   |KG       |KRW  |0      |13,461|0       |0       |0       |0       |0       |0       |0  |Latest G/R:2024.11.20|                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:29.130|
|SM2500111|3  |00     |        |1       |CNF    |컨펌     |1       |       |컨펌        |1    |3    |5485300|OFC 12.5MM (국내산)                       |13,334  |KG       |KRW  |0      |13,461|0       |0       |0       |0       |0       |0       |0  |Latest G/R:2024.11.20|                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:29.133|
|SM2500111|4  |00     |        |1       |CNF    |컨펌     |1       |       |컨펌        |1    |4    |5485300|OFC 12.5MM (국내산)                       |10,962  |KG       |KRW  |0      |13,461|0       |0       |0       |0       |0       |0       |0  |Latest G/R:2024.11.20|                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:29.137|
|SM2500111|5  |00     |        |1       |CNF    |컨펌     |1       |       |컨펌        |1    |5    |5485300|OFC 12.5MM (국내산)                       |20,297  |KG       |KRW  |0      |13,461|0       |0       |0       |0       |0       |0       |0  |Latest G/R:2024.11.20|                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:29.140|
|SM2500111|6  |00     |        |1       |CNF    |컨펌     |1       |       |컨펌        |1    |6    |5485300|OFC 12.5MM (국내산)                       |15,325  |KG       |KRW  |0      |13,461|0       |0       |0       |0       |0       |0       |0  |Latest G/R:2024.11.20|                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:29.140|
|SM2500111|7  |00     |        |2       |CST    |연선     |1       |       |KEYSTONE연선|2    |1    |7201683|수밀COMPD RZ B-007                       |729     |KG       |KRW  |202,510|9,950 |9,950   |9,950   |9,950   |9,950   |9,950   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:29.143|
|SM2500111|8  |00     |        |2       |CST    |연선     |2       |       |테이핑       |1    |1    |7203287|반도전 양면 S/W TAPE 0.19X60                |203     |KG       |KRW  |202,510|13,900|13,900  |13,900  |13,900  |13,900  |13,900  |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:29.147|
|SM2500111|9  |00     |        |2       |CST    |연선     |2       |       |테이핑       |2    |1    |7246762|STB TAPE 0.17X60                       |179     |KG       |KRW  |202,510|10,100|10,100  |10,100  |10,100  |10,100  |10,100  |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:29.147|
|SM2500111|10 |00     |        |2       |CST    |연선     |3       |       |테이핑       |1    |1    |7609424|PET TAPE 0.075X80                      |71      |KG       |KRW  |202,510|3,400 |3,400   |3,400   |3,400   |3,400   |3,400   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:29.150|
|SM2500111|11 |00     |        |3       |INS    |절연     |2       |       |가교내도      |1    |1    |7608001|반도전COMPD LS-9405S-B                    |1,109   |KG       |KRW  |202,510|11,161|11,161  |11,719  |12,277  |12,277  |12,277  |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:29.150|
|SM2500111|12 |00     |        |3       |INS    |절연     |3       |       |가교절연압출    |1    |1    |7616617|XLPE LS-4201EHV                        |15,991  |KG       |USD  |202,510|4     |4       |4       |5       |5       |5       |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:29.153|
|SM2500111|13 |00     |        |3       |INS    |절연     |4       |       |가교외도압출    |1    |1    |7608001|반도전COMPD LS-9405S-B                    |1,721   |KG       |KRW  |202,510|11,161|11,161  |11,719  |12,277  |12,277  |12,277  |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:29.153|
|SM2500111|14 |00     |        |5       |LDS    |연피쉬스   |1       |       |종첨        |1    |1    |7647739|PE TAPE 0.07X3 RD                      |0       |KG       |KRW  |202,510|4,500 |4,500   |4,500   |4,500   |4,500   |4,500   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:29.157|
|SM2500111|15 |00     |        |5       |LDS    |연피쉬스   |1       |       |종첨        |2    |1    |7647740|PE TAPE 0.07X3 YL                      |0       |KG       |KRW  |0      |4,500 |0       |0       |0       |0       |0       |0       |0  |Latest G/R:2024.11.01|                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:29.160|
|SM2500111|16 |00     |        |5       |LDS    |연피쉬스   |1       |       |종첨        |3    |1    |7647741|PE TAPE 0.07X3 BL                      |0       |KG       |KRW  |202,510|4,500 |4,500   |4,500   |4,500   |4,500   |4,500   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:29.160|
|SM2500111|17 |00     |        |5       |LDS    |연피쉬스   |2       |       |종첨        |1    |1    |7615277|반도전 S/W TAPE(염수용) 0.45X380             |529     |KG       |KRW  |0      |8,750 |0       |0       |0       |0       |0       |0       |0  |                     |                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:29.163|
|SM2500111|18 |00     |        |5       |LDS    |연피쉬스   |3       |       |연피쉬스      |1    |1    |7274763|LEAD ALLOY (JUMBO) CU-TE-LS            |36,995  |KG       |KRW  |0      |3,010 |0       |0       |0       |0       |0       |0       |0  |Latest G/R:2025.10.20|                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:29.167|
|SM2500111|19 |00     |        |6       |SHE    |쉬스     |1       |       |진공압출      |1    |1    |7640758|반도전PE EZ-3101 BK                       |4,130   |KG       |KRW  |0      |3,120 |0       |0       |0       |0       |0       |0       |0  |                     |                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:29.167|
