|SALE_OPP_NO|PJT_SHIP|SHIP_SEQ|SHIP_SEQ_LOT|SUL_NO   |ASSEMBLY|PROCESS_CODE|WORK_CNTR_CD|WORK_DAYS|PREPARE_DAYS|PRD_STRT_DATE|NOTE|ATTRIBUTE1|ATTRIBUTE2|REG_EMP|UPD_EMP|REG_DATE               |UPD_DATE               |
|-----------|--------|--------|------------|---------|--------|------------|------------|---------|------------|-------------|----|----------|----------|-------|-------|-----------------------|-----------------------|
|PD02312120 |2       |3       |1           |SM2300301|27,030  |INS         |INS049      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:15:28.450|2025-12-10 13:15:28.450|
|PD02312120 |2       |2       |1           |SM2300300|5,000   |INS         |INS049      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:15:28.453|2025-12-10 13:15:28.453|
|PD02312120 |2       |1       |1           |SM2300302|35,130  |INS         |INS049      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:15:28.467|2025-12-10 13:15:28.467|
|PD02312120 |2       |1       |2           |SM2300300|2,100   |INS         |INS049      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:15:28.467|2025-12-10 13:15:28.467|
|PD02312120 |2       |3       |1           |SM2300301|27,030  |INS         |FJT002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:15:28.450|2025-12-10 13:15:28.450|
|PD02312120 |2       |2       |1           |SM2300300|5,000   |INS         |FJT002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:15:28.453|2025-12-10 13:15:28.453|
|PD02312120 |2       |1       |1           |SM2300302|35,130  |INS         |FJT002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:15:28.467|2025-12-10 13:15:28.467|
|PD02312120 |2       |1       |2           |SM2300300|2,100   |INS         |FJT002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:15:28.467|2025-12-10 13:15:28.467|
|PD02312120 |2       |3       |1           |SM2300301|27,030  |INS         |REW002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:15:28.450|2025-12-10 13:15:28.450|
|PD02312120 |2       |2       |1           |SM2300300|5,000   |INS         |REW002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:15:28.453|2025-12-10 13:15:28.453|
|PD02312120 |2       |1       |1           |SM2300302|35,130  |INS         |REW002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:15:28.467|2025-12-10 13:15:28.467|
|PD02312120 |2       |1       |2           |SM2300300|2,100   |INS         |REW002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:15:28.467|2025-12-10 13:15:28.467|
|PD24110056 |1       |1       |1           |SM2300351|2,500   |INS         |INS049      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:17:53.770|2025-12-10 13:17:53.770|
|PD24110056 |1       |1       |1           |SM2300351|2,500   |LDS         |LDS005      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:17:53.770|2025-12-10 13:17:53.770|
|PD24110056 |1       |1       |2           |SM2300336|1,500   |INS         |INS049      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:17:53.770|2025-12-10 13:17:53.770|
|PD24110056 |1       |1       |2           |SM2300336|1,500   |LDS         |LDS005      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:17:53.773|2025-12-10 13:17:53.773|
|PD24110056 |1       |1       |3           |SM2400397|37,030  |INS         |INS049      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:17:53.773|2025-12-10 13:17:53.773|
|PD02401036 |2       |2       |1           |SM2200348|700     |INS         |INS051      |         |            |             |    |          |          |dkim17 |dkim17 |2025-12-12 13:29:06.323|2025-12-12 13:29:06.323|
|PD02401036 |2       |1       |1           |SM2200348|700     |INS         |INS051      |         |            |             |    |          |          |dkim17 |dkim17 |2025-12-12 13:29:06.323|2025-12-12 13:29:06.323|
|PD02401036 |3       |2       |1           |SM2200350|76,400  |INS         |INS051      |         |            |             |    |          |          |dkim17 |dkim17 |2025-12-12 13:29:06.323|2025-12-12 13:29:06.323|
|PD02401036 |3       |1       |1           |SM2200350|76,400  |INS         |INS051      |         |            |             |    |          |          |dkim17 |dkim17 |2025-12-12 13:29:06.327|2025-12-12 13:29:06.327|
|PD02401036 |5       |8       |1           |SM2200348|9,000   |INS         |INS051      |         |            |             |    |          |          |dkim17 |dkim17 |2025-12-12 13:29:06.327|2025-12-12 13:29:06.327|
|PD02401036 |5       |7       |1           |SM2200350|10,200  |INS         |INS051      |         |            |             |    |          |          |dkim17 |dkim17 |2025-12-12 13:29:06.327|2025-12-12 13:29:06.327|
|PD02401036 |5       |6       |1           |SM2200350|10,200  |INS         |INS051      |         |            |             |    |          |          |dkim17 |dkim17 |2025-12-12 13:29:06.327|2025-12-12 13:29:06.327|
|PD24060017 |1       |1       |1           |SM2500226|33,160  |INS         |INS048      |         |            |             |    |          |          |dkim17 |dkim17 |2025-12-22 13:07:51.650|2025-12-22 13:07:51.650|
|PD24110056 |1       |1       |3           |SM2400397|37,030  |LDS         |LDS005      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:17:53.773|2025-12-10 13:17:53.773|
|PD24110056 |1       |1       |4           |SM2300336|2,000   |INS         |INS049      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:17:53.773|2025-12-10 13:17:53.773|
|PD24110056 |1       |1       |4           |SM2300336|2,000   |LDS         |LDS005      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:17:53.773|2025-12-10 13:17:53.773|
|PD24110056 |1       |1       |1           |SM2300351|2,500   |LDS         |FJT002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:17:53.770|2025-12-10 13:17:53.770|
|PD24110056 |1       |1       |2           |SM2300336|1,500   |LDS         |FJT002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:17:53.773|2025-12-10 13:17:53.773|
|PD24110056 |1       |1       |3           |SM2400397|37,030  |LDS         |FJT002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:17:53.773|2025-12-10 13:17:53.773|
|PD24110056 |1       |1       |4           |SM2300336|2,000   |LDS         |FJT002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:17:53.773|2025-12-10 13:17:53.773|
|PD24110056 |1       |1       |1           |SM2300351|2,500   |LDS         |REW002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:17:53.770|2025-12-10 13:17:53.770|
|PD24110056 |1       |1       |2           |SM2300336|1,500   |LDS         |REW002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:17:53.773|2025-12-10 13:17:53.773|
|PD24110056 |1       |1       |3           |SM2400397|37,030  |LDS         |REW002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:17:53.773|2025-12-10 13:17:53.773|
|PD24110056 |1       |1       |4           |SM2300336|2,000   |LDS         |REW002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:17:53.773|2025-12-10 13:17:53.773|
|PD24060017 |1       |1       |1           |SM2500226|33,160  |LDS         |LDS005      |         |            |             |    |          |          |dkim17 |dkim17 |2025-12-22 13:07:51.650|2025-12-22 13:07:51.650|
|PD24060017 |1       |1       |1           |SM2500226|33,160  |LDS         |FJT002      |         |            |             |    |          |          |dkim17 |dkim17 |2025-12-22 13:07:51.650|2025-12-22 13:07:51.650|
|PD24060017 |1       |2       |1           |SM2500226|33,300  |LDS         |FJT002      |         |            |             |    |          |          |dkim17 |dkim17 |2025-12-22 13:07:51.650|2025-12-22 13:07:51.650|
|PD24060017 |1       |1       |1           |SM2500226|33,160  |LDS         |REW002      |         |            |             |    |          |          |dkim17 |dkim17 |2025-12-22 13:07:51.650|2025-12-22 13:07:51.650|
|PD25010018 |1       |5       |1           |SM2400387|15,940  |INS         |INS044      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:29:28.090|2025-12-10 13:29:28.090|
|PD25010018 |1       |5       |1           |SM2400387|15,940  |LDS         |LDS006      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:29:28.090|2025-12-10 13:29:28.090|
|PD25010018 |1       |4       |1           |SM2300330|16,200  |LDS         |LDS006      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:29:28.093|2025-12-10 13:29:28.093|
|PD25010018 |1       |3       |1           |SM2300331|12,590  |LDS         |LDS006      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:29:28.093|2025-12-10 13:29:28.093|
|PD25010018 |1       |5       |1           |SM2400387|15,940  |LDS         |FJT002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:29:28.090|2025-12-10 13:29:28.090|
|PD25010018 |1       |4       |1           |SM2300330|16,200  |LDS         |FJT002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:29:28.093|2025-12-10 13:29:28.093|
|PD25010018 |1       |3       |1           |SM2300331|12,590  |LDS         |FJT002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:29:28.093|2025-12-10 13:29:28.093|
|PD25010018 |1       |5       |1           |SM2400387|15,940  |LDS         |REW002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:29:28.090|2025-12-10 13:29:28.090|
|PD25010018 |1       |4       |1           |SM2300330|16,200  |LDS         |REW002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:29:28.093|2025-12-10 13:29:28.093|
|PD25010018 |1       |3       |1           |SM2300331|12,590  |LDS         |REW002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:29:28.093|2025-12-10 13:29:28.093|
|PD25040371 |1       |1       |1           |SM2500019|27,800  |LDS         |LDS005      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:30:53.630|2025-12-10 13:30:53.630|
|PD25040371 |1       |1       |2           |SM2500017|1,500   |LDS         |LDS005      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:30:53.630|2025-12-10 13:30:53.630|
|PD25040371 |1       |1       |1           |SM2500019|27,800  |LDS         |FJT002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:30:53.630|2025-12-10 13:30:53.630|
|PD25040371 |1       |1       |2           |SM2500017|1,500   |LDS         |FJT002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:30:53.630|2025-12-10 13:30:53.630|
|PD25040371 |1       |1       |1           |SM2500019|27,800  |LDS         |REW002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:30:53.630|2025-12-10 13:30:53.630|
|PD25040371 |1       |1       |2           |SM2500017|1,500   |LDS         |REW002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:30:53.630|2025-12-10 13:30:53.630|
|PD24080106 |1       |1       |1           |SM2400543|40,120  |CST         |CST030      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:38:47.557|2025-12-10 13:38:47.557|
|PD24080106 |1       |1       |1           |SM2400543|40,120  |CST         |FJT002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:38:47.557|2025-12-10 13:38:47.557|
|PD24080106 |1       |1       |1           |SM2400543|40,120  |CST         |REW002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:38:47.557|2025-12-10 13:38:47.557|
|P2301029   |1       |3       |1           |SM2200050|85,000  |INS         |INS051      |         |            |             |    |          |          |dkim17 |dkim17 |2025-12-17 15:23:40.407|2025-12-17 15:23:40.407|
|P2301029   |1       |3       |1           |SM2200050|85,000  |LDS         |LDS007      |         |            |             |    |          |          |dkim17 |dkim17 |2025-12-17 15:23:40.407|2025-12-17 15:23:40.407|
