|SALE_OPP_NO|PROCESS_CODE|WORK_CNTR_CD|WORK_DAYS|PREPARE_DAYS|PRD_STRT_DATE|NOTE|ATTRIBUTE1|ATTRIBUTE2|REG_EMP|UPD_EMP|REG_DATE               |UPD_DATE               |
|-----------|------------|------------|---------|------------|-------------|----|----------|----------|-------|-------|-----------------------|-----------------------|
|PD02312088 |CST         |CST031      |         |            |20260901     |    |          |          |skim34 |skim34 |2025-12-10 13:32:38.850|2025-12-10 13:32:38.850|
|PD02312088 |UST         |REW002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:32:38.850|2025-12-10 13:32:38.850|
|PD02312088 |UST         |FJT002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:32:38.850|2025-12-10 13:32:38.850|
|PD02312088 |UST         |UST049      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:32:38.850|2025-12-10 13:32:38.850|
|PD02312088 |SMA         |MAM003      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:32:38.853|2025-12-10 13:32:38.853|
|PD24080106 |CST         |CST032      |         |            |20271106     |    |          |          |skim34 |skim34 |2025-12-10 13:38:46.203|2025-12-10 13:38:46.203|
|PD24080106 |INS         |INS052      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:38:46.203|2025-12-10 13:38:46.203|
|PD24080106 |LDS         |LDS006      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:38:46.203|2025-12-10 13:38:46.203|
|PD24080106 |LDS         |RWDL51      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:38:46.207|2025-12-10 13:38:46.207|
|PD24080106 |LDS         |FJYL51      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:38:46.207|2025-12-10 13:38:46.207|
|PD24080106 |UST         |REW003      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:38:46.207|2025-12-10 13:38:46.207|
|PD24080106 |UST         |FJT003      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:38:46.207|2025-12-10 13:38:46.207|
|PD24080106 |UST         |UST059      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:38:46.207|2025-12-10 13:38:46.207|
|PD24080106 |SMA         |MAM005      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:38:46.210|2025-12-10 13:38:46.210|
|PD24100071 |UST         |FJT003      |         |            |             |    |          |          |chlee  |chlee  |2025-12-10 15:10:25.340|2025-12-10 15:10:25.340|
|PD24100071 |UST         |UST059      |         |            |             |    |          |          |chlee  |chlee  |2025-12-10 15:10:25.340|2025-12-10 15:10:25.340|
|PD24100071 |SMA         |MAM005      |         |            |             |    |          |          |chlee  |chlee  |2025-12-10 15:10:25.340|2025-12-10 15:10:25.340|
|P2301030   |SMA         |MAM005      |         |            |             |    |          |          |dkim17 |dkim17 |2025-12-16 10:34:08.873|2025-12-16 10:34:08.873|
|P2301029   |SMA         |MAM005      |         |            |             |    |          |          |dkim17 |dkim17 |2025-12-17 15:23:42.343|2025-12-17 15:23:42.343|
|PD24100071 |CST         |CST032      |         |            |20261216     |    |          |          |chlee  |chlee  |2025-12-10 15:10:25.337|2025-12-10 15:10:25.337|
|PD24100071 |INS         |INS052      |         |            |             |    |          |          |chlee  |chlee  |2025-12-10 15:10:25.337|2025-12-10 15:10:25.337|
|PD24100071 |UST         |REW003      |         |            |             |    |          |          |chlee  |chlee  |2025-12-10 15:10:25.337|2025-12-10 15:10:25.337|
|PD25040371 |CST         |CST030      |         |            |20260307     |    |          |          |skim34 |skim34 |2025-12-10 13:30:54.550|2025-12-10 13:30:54.550|
|PD25040371 |INS         |INS048      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:30:54.553|2025-12-10 13:30:54.553|
|PD25040371 |LDS         |LDS006      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:30:54.553|2025-12-10 13:30:54.553|
|PD25040371 |LDS         |RWDL51      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:30:54.553|2025-12-10 13:30:54.553|
|PD25040371 |LDS         |FJYL51      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:30:54.553|2025-12-10 13:30:54.553|
|PD25040371 |UST         |REW001      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:30:54.553|2025-12-10 13:30:54.553|
|PD25040371 |UST         |FJT001      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:30:54.553|2025-12-10 13:30:54.553|
|PD25040371 |UST         |UST039      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:30:54.553|2025-12-10 13:30:54.553|
|PD02312120 |CST         |CST031      |         |            |20261126     |    |          |          |skim34 |skim34 |2025-12-10 13:15:42.653|2025-12-10 13:15:42.653|
|PD02312120 |UST         |REW002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:15:42.657|2025-12-10 13:15:42.657|
|PD02312120 |UST         |FJT002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:15:42.657|2025-12-10 13:15:42.657|
|PD02312120 |UST         |UST049      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:15:42.660|2025-12-10 13:15:42.660|
|PD02312120 |SMA         |MAM003      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:15:42.660|2025-12-10 13:15:42.660|
|PD24110056 |CST         |CST031      |         |            |20250404     |    |          |          |skim34 |skim34 |2025-12-10 13:18:01.783|2025-12-10 13:18:01.783|
|PD24110056 |UST         |REW002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:18:01.787|2025-12-10 13:18:01.787|
|PD24110056 |UST         |FJT002      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:18:01.787|2025-12-10 13:18:01.787|
|PD24110056 |UST         |UST049      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:18:01.787|2025-12-10 13:18:01.787|
|PD24110056 |SMA         |MAM003      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:18:01.793|2025-12-10 13:18:01.793|
|PD24060018 |CST         |CST031      |         |            |20251013     |    |          |          |skim34 |skim34 |2025-12-10 13:18:47.230|2025-12-10 13:18:47.230|
|PD24060018 |INS         |INS048      |         |            |             |    |          |          |skim34 |skim34 |2025-12-10 13:18:47.230|2025-12-10 13:18:47.230|
